START	Start
LANGUAGE	EN
CANCEL_BUTTON	Cancel
OK_BUTTON	OK
TEXT_0001	Lv
TEXT_0002	Round {0}
TEXT_0003	Roll Initiative
TEXT_0004	r d20{0} = {1}
TEXT_0005	{0} Turn
TEXT_0006	{0}/{1}
TEXT_0007	HP
TEXT_0008	Move action already used. Do you want to spend a standard action?
TEXT_0009	No move actions left
TEXT_0010	No standard actions left
TEXT_0011	Cannot overlap with companions
TEXT_0012	Out of second wind
TEXT_0013	No target
TEXT_0014	Damage
TEXT_0015	Hit
TEXT_0016	r {0} = {1} {2}
TEXT_0017	HIT
TEXT_0018	MISS
TEXT_0019	Damage r {0} = {1}
TEXT_0020	Critical
TEXT_0021	Damage {0}
TEXT_0022	Victory for {0}
TEXT_0023	No minor actions left
TEXT_0024	Minor action already used. Do you want to spend a move action?
TEXT_0025	Minor action already used. Do you want to spend a standard action?
TEXT_0026	This power can't be used
TEXT_0027	Can't move while immobilized
TEXT_0028	Speed
TEXT_0029	Attack
TEXT_0030	{0} Turn End
TEXT_0031	{0} Save Ends
TEXT_0032	Success
TEXT_0033	Failed
ABILITY_0	Strength
ABILITY_1	Constitution
ABILITY_2	Dexterity
ABILITY_3	Intelligence
ABILITY_4	Wisdom
ABILITY_5	Charisma
DEFENSE_0	AC
DEFENSE_1	Fortitude
DEFENSE_2	Reflex
DEFENSE_3	Will
RACE_00	Dragonborn
RACE_01	Dwarf
RACE_02	Eladrin
RACE_03	Elf
RACE_04	HalfElf
RACE_05	Halfing
RACE_06	Human
RACE_07	Tiefling
CLASS_00	Cleric
CLASS_01	Fighter
CLASS_02	Paladin
CLASS_03	Ranger
CLASS_04	Rogue
CLASS_05	Warlock
CLASS_06	Warlord
CLASS_07	Wizard
SKILL_00	Acrobatics
SKILL_01	Arcana
SKILL_02	Athletics
SKILL_03	Bluff
SKILL_04	Diplomacy
SKILL_05	Dungeoneering
SKILL_06	Endurance
SKILL_07	Heal
SKILL_08	History
SKILL_09	Insight
SKILL_10	Intimidate
SKILL_11	Nature
SKILL_12	Perception
SKILL_13	Religion
SKILL_14	Stealth
SKILL_15	Streetwise
SKILL_16	Thievery
POWER_00001	Charge
POWER_00002	Spear
POWER_00003	Javelin
POWER_00004	Dagger
POWER_00005	Sling
POWER_00006	Short Sword
POWER_00007	Firepots
POWER_00008	Gluepot
POWER_00009	Melee Attack
POWER_00010	Sure Strike
POWER_00011	Cleave
POWER_00012	Spinning Sweep
POWER_00013	Villain’s Menace
POWER_00014	Magic Missile
POWER_00015	Ray of Frost
POWER_00016	Scorching Burst
POWER_00017	Chill Strike
POWER_00018	Dragon Breath
POWER_00019	Flaming Sphere
ITEM_00001	Longsword
ITEM_00002	Quarterstaff
ITEM_00003	Scale Armor
EFFECT_00001	Equip heavy armor
EFFECT_00002	Vs <color=#4ECDC4>{0}</color><br>Until the end of the encounter
EFFECT_00003	Vs non-<color=#4ECDC4>{0}</color><br>Until the end of <color=#4ECDC4>{0}</color> next turn
EFFECT_00004	Mark
EFFECT_00005	<color=#4ECDC4>{0}</color> can’t move
EFFECT_00006	ongoing damage
EFFECT_00007	Take ongoing damage <color=#4ECDC4>save ends</color>
EFFECT_00008	Immobilized
EFFECT_00009	<color=#4ECDC4>save ends</color>
EFFECT_00010	per <color=#4ECDC4>{0}</color> ally adjacent to the target
EFFECT_00011	Mob Attack
EFFECT_00012	Dragonborn Fury
EFFECT_00013	When you’re <color=#4ECDC4>{0}</color>
EFFECT_00014	Bloodied
EFFECT_00015	until the start of next turn
EFFECT_00016	All Defense
EFFECT_00017	Run
EFFECT_00018	Second Wind
EFFECT_00019	Total Defense
TOOLTIP_00001	◆ <color=#FFD700><b>{0}</b></color>
TOOLTIP_00002	<color=#6BFF6B>+{0}</color> {1}
TOOLTIP_00003	<color=#FF6B6B>{0}</color> {1}
TOOLTIP_00004	<margin-left=20><size=80%><color=#AAAAAA>{0}</color></size>
ROLE_NAME_0001	Tom
ROLE_NAME_0002	Dane
ROLE_NAME_0003	Balu
ROLE_NAME_0004	Cole
ROLE_NAME_0005	Gimli
UNIT_KEYWORD_001	Kobold
MONSTER_NAME_0001	Kobold Minions
MONSTER_NAME_0002	Kobold Slinger
MONSTER_NAME_0003	Kobold Dragonshields
MONSTER_NAME_0004	Kobold Skirmisher
MONSTER_NAME_0005	Kobold Wyrmpriest
ENCOUNTER_0001	Outside Winterhaven
