START	开始
LANGUAGE	简中
CANCEL_BUTTON	取消
OK_BUTTON	确定
TEXT_0001	Lv
TEXT_0002	回合 {0}
TEXT_0003	投先攻
TEXT_0004	r d20{0} = {1}
TEXT_0005	{0} 行动
TEXT_0006	{0}/{1}
TEXT_0007	HP
TEXT_0008	移动动作已使用，是否消耗标准动作？
TEXT_0009	不能再移动了
TEXT_0010	不能再做标准动作了
TEXT_0011	不能跟同伴重叠
TEXT_0012	回气已用完
TEXT_0013	没有目标
TEXT_0014	伤害
TEXT_0015	命中
TEXT_0016	r {0} = {1} {2}
TEXT_0017	命中
TEXT_0018	失手
TEXT_0019	伤害 r {0} = {1}
TEXT_0020	暴击
TEXT_0021	伤害 {0}
TEXT_0022	{0} 胜利
TEXT_0023	不能再做次要动作了
TEXT_0024	次要动作已使用，是否消耗移动动作？
TEXT_0025	次要动作已使用，是否消耗标准动作？
TEXT_0026	此威能不能再用了
TEXT_0027	定身，无法移动
TEXT_0028	速度
TEXT_0029	攻击
ABILITY_0	力量
ABILITY_1	体质
ABILITY_2	敏捷
ABILITY_3	智慧
ABILITY_4	感知
ABILITY_5	魅力
DEFENSE_0	AC
DEFENSE_1	强韧
DEFENSE_2	反射
DEFENSE_3	意志
RACE_00	龙裔
RACE_01	矮人
RACE_02	雅灵
RACE_03	精灵
RACE_04	半精灵
RACE_05	半身人
RACE_06	人类
RACE_07	提夫林
CLASS_00	牧师
CLASS_01	战士
CLASS_02	圣武士
CLASS_03	游侠
CLASS_04	盗贼
CLASS_05	术士
CLASS_06	法师
CLASS_07	邪术师
SKILL_00	杂技
SKILL_01	神秘
SKILL_02	运动
SKILL_03	唬骗
SKILL_04	外交
SKILL_05	地城
SKILL_06	坚韧
SKILL_07	医疗
SKILL_08	历史
SKILL_09	洞察
SKILL_10	威吓
SKILL_11	自然
SKILL_12	察觉
SKILL_13	宗教
SKILL_14	潜行
SKILL_15	市井
SKILL_16	盗窃
POWER_00001	冲锋
POWER_00002	长矛
POWER_00003	标枪
POWER_00004	匕首
POWER_00005	投石索
POWER_00006	短剑
POWER_00007	火焰弹
POWER_00008	胶水弹
POWER_00009	近战攻击
POWER_00010	必中一击
POWER_00011	顺势斩
POWER_00012	旋转扫击
POWER_00013	强敌威压
POWER_00014	魔法飞弹
POWER_00015	冰冻射线
POWER_00016	炙炎爆发
POWER_00017	寒霜冲击
POWER_00018	龙息
POWER_00019	炽焰法球
ITEM_00001	长剑
ITEM_00002	长棍
ITEM_00003	鳞甲
EFFECT_00001	装备重甲
EFFECT_00002	对<color=#4ECDC4>{0}</color><br>持续到遭遇结束
EFFECT_00003	对<color=#4ECDC4>{0}</color>以外的敌人<br>持续到<color=#4ECDC4>{0}</color>下一回合结束
EFFECT_00004	标记
EFFECT_00005	<color=#4ECDC4>{0}</color>，无法移动
EFFECT_00006	持续伤害
EFFECT_00007	回合开始时造成持续伤害<br><color=#4ECDC4>豁免检定</color>结束
EFFECT_00008	定身
EFFECT_00009	<color=#4ECDC4>豁免检定</color>结束
EFFECT_00010	目标相邻的每名<color=#4ECDC4>{0}</color>盟友
EFFECT_00011	集群攻击
EFFECT_00012	龙裔之怒
EFFECT_00013	处于<color=#4ECDC4>{0}</color>状态下
EFFECT_00014	浴血
EFFECT_00015	持续到下一回合开始
EFFECT_00016	全防御
EFFECT_00017	奔跑
EFFECT_00018	回气
EFFECT_00019	全防御
TOOLTIP_00001	◆ <color=#FFD700><b>{0}</b></color>
TOOLTIP_00002	<color=#6BFF6B>+{0}</color> {1}
TOOLTIP_00003	<color=#FF6B6B>{0}</color> {1}
TOOLTIP_00004	<margin-left=20><size=80%><color=#AAAAAA>{0}</color></size>
ROLE_NAME_0001	汤姆
ROLE_NAME_0002	丹恩
ROLE_NAME_0003	巴鲁
ROLE_NAME_0004	科尔
ROLE_NAME_0005	吉姆利
UNIT_KEYWORD_001	狗头人
MONSTER_NAME_0001	狗头人杂兵
MONSTER_NAME_0002	狗头人投石手
MONSTER_NAME_0003	狗头人龙盾兵
MONSTER_NAME_0004	狗头人散兵
MONSTER_NAME_0005	狗头人巨龙祭司
ENCOUNTER_0001	冬日港外
